"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party","writein","mode","candidatevotes","totalvotes","unofficial","version"
1992,"California","CA",6,93,71,"US House",49,"gen",FALSE,"John Wallner","libertarian",FALSE,"total",10706,248898,FALSE,20171005
1984,"California","CA",6,93,71,"US House",18,"gen",FALSE,"Richard H. Lehman","democrat",FALSE,"total",128186,190525,FALSE,20171005
2010,"California","CA",6,93,71,"US House",22,"gen",FALSE,"Kevin McCarthy","republican",FALSE,"total",173490,175663,FALSE,20171005
2008,"California","CA",6,93,71,"US House",3,"gen",FALSE,"Daniel E. Lungren","republican",FALSE,"total",155424,314046,FALSE,20171005
1980,"California","CA",6,93,71,"US House",33,"gen",FALSE,"Fred L. Anderson","democrat",FALSE,"total",50365,172804,FALSE,20171005
1976,"California","CA",6,93,71,"US House",6,"gen",FALSE,"Tom Spinosa","republican",FALSE,"total",35359,130916,FALSE,20171005
2008,"California","CA",6,93,71,"US House",42,"gen",FALSE,"Edwin ""Ed"" Chau","democrat",FALSE,"total",104909,263313,FALSE,20171005
1976,"California","CA",6,93,71,"US House",29,"gen",FALSE,"Sheila Leburg","independent",FALSE,"total",3235,96602,FALSE,20171005
2002,"California","CA",6,93,71,"US House",39,"gen",FALSE,"Tim Escobar","republican",FALSE,"total",38925,95346,FALSE,20171005
1982,"California","CA",6,93,71,"US House",9,"gen",FALSE,"Fortney H. (Pete) Stark","democrat",FALSE,"total",104393,172095,FALSE,20171005
2016,"California","CA",6,93,71,"US House",9,"gen",FALSE,"Jerry McNerney","democrat",FALSE,"total",133163,232155,FALSE,20171005
1980,"California","CA",6,93,71,"US House",43,"gen",FALSE,"Tom Metzger","democrat",FALSE,"total",46361,345176,FALSE,20171005
1992,"California","CA",6,93,71,"US House",30,"gen",FALSE,"Andrew ""Drew"" Consalvo","libertarian",FALSE,"total",2221,83543,FALSE,20171005
2000,"California","CA",6,93,71,"US House",16,"gen",FALSE,"Zoe Lofgren","democrat",FALSE,"total",115118,159746,FALSE,20171005
2010,"California","CA",6,93,71,"US House",39,"gen",FALSE,"John A. Smith","american independent",FALSE,"total",5334,128961,FALSE,20171005
1998,"California","CA",6,93,71,"US House",22,"gen",FALSE,"Richard D. 'Dick' Porter","reform",FALSE,"total",1241,199264,FALSE,20171005
2000,"California","CA",6,93,71,"US House",3,"gen",FALSE,"Doug Ose","republican",FALSE,"total",129254,230182,FALSE,20171005
